5.E5,0.425016410462D+03
15.E5,0.471476602600D+03
25.E5,0.497139225482D+03
35.E5,0.515745491119D+03
45.E5,0.530623727223D+03
55.E5,0.543151458564D+03
65.E5,0.554042962846D+03
75.E5,0.563720164348D+03
85.E5,0.572454682091D+03
95.E5,0.580432427163D+03
105.E5,0.587786626716D+03
115.E5,0.594616214282D+03
125.E5,0.600996762244D+03
135.E5,0.606987322645D+03
145.E5,0.612634884641D+03
155.E5,0.617977370255D+03
165.E5,0.623045688057D+03
175.E5,0.627865141978D+03
185.E5,0.632456351356D+03
195.E5,0.636835682690D+03
205.E5,0.641014787705D+03
215.E5,0.644998170439D+03
